Governante;Data de entrada;Data de saída;Classificação;Ministérios;Partido da Pasta;Ministro;Data de entrada;Data de saída;Partido do Ministro
Collor;15/03/1990;29/12/1992;Ministério;Economia, Fazenda e Planejamento;ind;Zélia Cardoso de Mello;15/03/1990;10/05/1991;PMDB
Collor;15/03/1990;29/12/1992;Ministério;Economia, Fazenda e Planejamento;sfp;Marcílio Marques Moreira;10/05/1991;01/10/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Infraestrutura;sfp;Ozires Silva;15/03/1990;27/03/1991;sfp
Collor;15/03/1990;29/12/1992;Ministério;Infraestrutura;sfp;Eduardo Teixeira;27/03/1991;10/05/1991;sfp
Collor;15/03/1990;29/12/1992;Ministério;Infraestrutura;sfp;João Eduardo Cerdeiro Santana;10/05/1991;13/04/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Transportes e Comunicações;PTB;Affonso Camargo Neto;13/04/1992;01/10/1992;PTB
Collor;15/03/1990;29/12/1992;Ministério;Agricultura e Reforma Agrária;PTR;Joaquim Roriz;15/03/1990;29/03/1990;PTR
Collor;15/03/1990;29/12/1992;Ministério;Agricultura e Reforma Agrária;sfp;Antônio Cabrera Mano Filho;03/04/1990;12/04/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Agricultura e Reforma Agrária;PRN;Antônio Cabrera Mano Filho;13/04/1992;01/10/1992;PRN
Collor;15/03/1990;29/12/1992;Ministério;Educação;PFL;Carlos Chiarelli;15/03/1990;22/08/1991;PFL
Collor;15/03/1990;29/12/1992;Ministério;Educação;sfp;José Goldemberg;22/08/1991;05/08/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Educação;PFL;Eraldo Tinoco Melo;05/08/1992;01/10/1992;PFL
Collor;15/03/1990;29/12/1992;Ministério;Trabalho e Previdência Social;sfp;Antônio Rogério Magri;15/03/1990;20/01/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Trabalho e Previdência Social;PFL;Reinhold Stephanes;20/01/1992;13/04/1992;PFL
Collor;15/03/1990;29/12/1992;Ministério;Trabalho e Administração;PL;João Mellão Neto;13/04/1992;01/10/1992;PL
Collor;15/03/1990;29/12/1992;Ministério;Saúde;PFL;Alceni Ângelo Guerra;15/03/1990;24/01/1992;PFL
Collor;15/03/1990;29/12/1992;Ministério;Saúde;sfp;Adib Jatene;13/02/1992;01/10/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Minas e Energia;PDS;Marcus Vinicius Pratini de Moraes;13/04/1992;01/10/1992;PDS
Collor;15/03/1990;29/12/1992;Secretaria;Desenvolvimento Regional;sfp;Egberto Batista;29/03/1990;12/04/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Desenvolvimento Regional;PFL;Ângelo Calmon de Sá;13/04/1992;01/10/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Previdência Social;PFL;Reinhold Stephanes;13/04/1992;01/10/1992;PFL
